Id,Event_Subject__c,Visit_Information_Summary__c,Event_Type__c,Demo_Reset_Week_Offset__c,Room__c,Facility__c,Contact__c,Email__c,Event_Start_DateTime__c,Confirmation_Date_Time__c,Confirmed__c,Name,Room__r.Name,Facility__r.Name,Contact__r.Name
a3M3h000000UXxGEAW,GDIT Discussion,"<span style=""font-size: 16px;""><b><u>Meeting Information</u></b></span><br><br><b>Date: </b>2020-08-04 15:00:00<br><b>Subject: </b>GDIT Discussion<br><b>Government POC: </b>Bob Young<br><b>Site: </b>Reston Office<br><b>Room: </b>RES-8-024<br><b>Address: </b><br>11720 Plaza America Dr.<br>Reston, VA<br>",Event,1,a1y3h0000009zPqAAI,a1w3h0000002cOxAAI,0033h000006VmT3AAK,astolle27@mailinator.com,2020-08-04T15:00:00.000+0000,,false,VID-0112,RES-8-024,RES,Amabel Stolle
a3M3h000000UXxHEAW,GDIT Discussion,"<span style=""font-size: 16px;""><b><u>Meeting Information</u></b></span><br><br><b>Date: </b>2020-08-04 15:00:00<br><b>Subject: </b>GDIT Discussion<br><b>Government POC: </b>Bob Young<br><b>Site: </b>Reston Office<br><b>Room: </b>RES-8-024<br><b>Address: </b><br>11720 Plaza America Dr.<br>Reston, VA<br>",Event,1,a1y3h0000009zPqAAI,a1w3h0000002cOxAAI,0033h000006VmT7AAK,dwhyteman2b@mailinator.com,2020-08-04T15:00:00.000+0000,,false,VID-0113,RES-8-024,RES,Dennison Whyteman
a3M3h000000UYslEAG,Task Order Discussion,"<span style=""font-size: 16px;""><b><u>Meeting Information</u></b></span><br><br><b>Date: </b>2020-08-03 19:00:00<br><b>Subject: </b>Task Order Discussion<br><b>Government POC: </b>James Amon<br><b>Site: </b>Reston Office<br><b>Room: </b>RES-8-078<br><b>Address: </b><br>11720 Plaza America Dr.<br>Reston, VA<br>",Event,1,a1y3h0000009zQiAAI,a1w3h0000002cOxAAI,0033h000006VmSpAAK,nfinden1t@mailinator.com,2020-08-03T19:00:00.000+0000,,false,VID-0130,RES-8-078,RES,Nara Finden
a3M3h000000UYsmEAG,Task Order Discussion,"<span style=""font-size: 16px;""><b><u>Meeting Information</u></b></span><br><br><b>Date: </b>2020-08-03 19:00:00<br><b>Subject: </b>Task Order Discussion<br><b>Government POC: </b>James Amon<br><b>Site: </b>Reston Office<br><b>Room: </b>RES-8-078<br><b>Address: </b><br>11720 Plaza America Dr.<br>Reston, VA<br>",Event,1,a1y3h0000009zQiAAI,a1w3h0000002cOxAAI,0033h000006VmSwAAK,kgirardi20@mailinator.com,2020-08-03T19:00:00.000+0000,,false,VID-0131,RES-8-078,RES,Kissee Girardi
a3M3h000000UYsnEAG,ASF Follow-Up Discussion,"<span style=""font-size: 16px;""><b><u>Meeting Information</u></b></span><br><br><b>Date: </b>2020-08-05 14:00:00<br><b>Subject: </b>ASF Follow-Up Discussion<br><b>Government POC: </b>James Amon<br><b>Site: </b>Reston Office<br><b>Room: </b>RES-8-078<br><b>Address: </b><br>11720 Plaza America Dr.<br>Reston, VA<br>",Event,1,a1y3h0000009zQiAAI,a1w3h0000002cOxAAI,0033h000006VmSwAAK,kgirardi20@mailinator.com,2020-08-05T14:00:00.000+0000,,false,VID-0132,RES-8-078,RES,Kissee Girardi
a3M3h000000UYsoEAG,ASF Follow-Up Discussion,"<span style=""font-size: 16px;""><b><u>Meeting Information</u></b></span><br><br><b>Date: </b>2020-08-05 14:00:00<br><b>Subject: </b>ASF Follow-Up Discussion<br><b>Government POC: </b>James Amon<br><b>Site: </b>Reston Office<br><b>Room: </b>RES-8-078<br><b>Address: </b><br>11720 Plaza America Dr.<br>Reston, VA<br>",Event,1,a1y3h0000009zQiAAI,a1w3h0000002cOxAAI,0033h000006VmSpAAK,nfinden1t@mailinator.com,2020-08-05T14:00:00.000+0000,,false,VID-0133,RES-8-078,RES,Nara Finden
a3M3h000000UYx3EAG,Clearance Process,"<span style=""font-size: 16px;""><b><u>Meeting Information</u></b></span><br><br><b>Date: </b>2020-07-30 16:00:00<br><b>Subject: </b>Clearance Process<br><b>Government POC: </b>David Larrimore<br><b>Site: </b>Reston Office<br><b>Room: </b>RES-8-024<br><b>Address: </b><br>11720 Plaza America Dr.<br>Reston, VA<br>",Service Appointment,0,a1y3h0000009zPqAAI,a1w3h0000002cOxAAI,0033h000006VxfEAAS,ames.turner.demo@mailinator.com,2020-07-30T16:00:00.000+0000,2020-06-10T17:00:00.000+0000,true,VID-0138,RES-8-024,RES,Boo Boo Bear
a3M3h000000UYsgEAG,DQL Discussion,"<span style=""font-size: 16px;""><b><u>Meeting Information</u></b></span><br><br><b>Date: </b>2020-07-31 21:00:00<br><b>Subject: </b>DQL Discussion<br><b>Government POC: </b>David Larrimore<br><b>Site: </b>Reston Office<br><b>Room: </b>RES-8-024<br><b>Address: </b><br>11720 Plaza America Dr.<br>Reston, VA<br>",Event,0,a1y3h0000009zPqAAI,a1w3h0000002cOxAAI,0033h000006VmSYAA0,cabram1c@mailinator.com,2020-07-31T21:00:00.000+0000,2020-06-10T17:00:00.000+0000,true,VID-0128,RES-8-024,RES,Caz Abram
a3M3h000000UYshEAG,DQL Discussion,"<span style=""font-size: 16px;""><b><u>Meeting Information</u></b></span><br><br><b>Date: </b>2020-07-31 21:00:00<br><b>Subject: </b>DQL Discussion<br><b>Government POC: </b>David Larrimore<br><b>Site: </b>Reston Office<br><b>Room: </b>RES-8-024<br><b>Address: </b><br>11720 Plaza America Dr.<br>Reston, VA<br>",Event,0,a1y3h0000009zPqAAI,a1w3h0000002cOxAAI,0033h000006VmSUAA0,sbrennenstuhl18@mailinator.com,2020-07-31T21:00:00.000+0000,2020-06-11T17:00:00.000+0000,true,VID-0129,RES-8-024,RES,Shay Brennenstuhl
a3M3h000000UYo9EAG,DevTech Introduction,"<span style=""font-size: 16px;""><b><u>Meeting Information</u></b></span><br><br><b>Date: </b>2020-07-31 14:00:00<br><b>Subject: </b>DevTech Introduction<br><b>Government POC: </b>Bob Young<br><b>Site: </b>Reston Office<br><b>Room: </b>RES-8-024<br><b>Address: </b><br>11720 Plaza America Dr.<br>Reston, VA<br>",Event,0,a1y3h0000009zPqAAI,a1w3h0000002cOxAAI,0033h000006VmS1AAK,egilburtf@mailinator.com,2020-07-31T14:00:00.000+0000,,false,VID-0116,RES-8-024,RES,Ev Gilburt
